occurrenceID	eventID	samplingProtocol	habitat	occurrenceRemarks	fieldNotes	decimalLatitude	decimalLongitude	Datum	coordinateUncertaintyInMeters	scientificName	organismQuantity	organismQuantityType	eventDate	Year	kingdom	eventRemarks
MuSGrowth_0357	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.50	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0358	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0359	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0360	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0361	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.00	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0362	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0363	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.50	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0364	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.50	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0365	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0	growth increment, cm	2018-10-02/2019-10-09	2019	Plantae	
MuSGrowth_0788	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0789	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0790	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	3.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0791	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0792	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	4.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0793	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0794	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0795	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0796	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0797	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0798	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0799	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0800	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0807	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0808	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	3.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0809	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0810	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0811	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0812	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.50	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_0813	MuSGrowth_OTC 30	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	11.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2019-10-09/2021-05-05	2020	Plantae	The measurements should be made on Autumn 2020, due to lack of time they were postponed till next spring. The measurements in spring were made before the beginning of growth period, just after snow melt in the bog.
MuSGrowth_1008	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1009	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.10	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1010	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.10	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1011	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.10	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1012	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.50	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1013	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.10	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1014	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.50	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1015	MuSGrowth_OTC 27	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	10.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	2.00	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1016	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1017	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.00	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1018	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.20	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1019	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.30	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1020	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	0.30	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
MuSGrowth_1021	MuSGrowth_OTC 28	individual wire ringlet	Oligotrophic graminoid-Eriophorum-Sphagnum bog	OTC	14.00	60.89422	68.681537	WGS84	30	Sphagnum balticum	1.20	growth increment, cm	2020-10-17/2021-10-09	2021	Plantae	
