"","Effect","DFn","DFd","F","p","p<.05","ges"
"1","scientificName",7,1485,67.17,2.59e-84,"*",0.24
"2","Year",3,1485,53.573,7.06e-33,"*",0.098
"3","habitat",2,1485,13.866,1.08e-06,"*",0.018
"4","fieldNotes",1,1485,4.248,0.039,"*",0.003
"5","occurrenceRemarks",2,1485,0.647,0.524,"",0.00087
"6","scientificName:Year",21,1485,5.447,3.25e-14,"*",0.072
"7","scientificName:habitat",1,1485,2.305,0.129,"",0.002
"8","Year:habitat",6,1485,2.463,0.023,"*",0.01
"9","scientificName:fieldNotes",7,1485,16.901,1.34e-21,"*",0.074
"10","Year:fieldNotes",3,1485,1.078,0.357,"",0.002
"11","habitat:fieldNotes",1,1485,2.344,0.126,"",0.002
"12","Year:occurrenceRemarks",5,1485,3.084,0.009,"*",0.01
"13","habitat:occurrenceRemarks",1,1485,0.059,0.808,"",3.99e-05
"14","fieldNotes:occurrenceRemarks",2,1485,8.547,0.000204,"*",0.011
"15","scientificName:Year:fieldNotes",18,1485,4.418,2.01e-09,"*",0.051
"16","Year:habitat:fieldNotes",3,1485,0.264,0.851,"",0.000533
"17","Year:habitat:occurrenceRemarks",2,1485,0.122,0.885,"",0.000164
"18","Year:fieldNotes:occurrenceRemarks",3,1485,2.066,0.103,"",0.004
